geneko	mediaws	media	addtlCpd	growth
fig|208964.1.peg.1114	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1115	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1116	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1117	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1118	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1119	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.112	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1120	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1121	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1122	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1123	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1124	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1125	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1126	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1127	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1128	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1129	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.113	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1130	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1131	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1132	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1133	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1134	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1135	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1136	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1137	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1138	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1139	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.114	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1141	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1142	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1143	KBaseMedia	ArgonneLBMedia		1
